participant_code,device,session_start,trial_index,is_practice,condition,correct_response,prime,target,response,correct,rt_ms,focus_lost
2UXIMK,desktop,2026-09-03T20:33:15.984Z,1,true,unassociated,yes,apple,door,yes,true,794,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,2,true,unassociated,yes,shirt,river,no,false,1051,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,3,true,associated,yes,north,south,yes,true,608,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,4,true,nonword,no,lamp,gorp,no,true,723,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,5,true,associated,yes,coffee,tea,yes,true,653,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,6,true,nonword,no,trink,house,no,true,631,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,7,false,unassociated,yes,bread,white,yes,true,829,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,8,false,associated,yes,cup,saucer,,false,,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,9,false,unassociated,yes,doctor,sock,yes,true,586,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,10,false,nonword,no,threed,groop,no,true,887,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,11,false,nonword,no,tunnel,brend,no,true,614,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,12,false,nonword,no,vosk,bottle,no,true,605,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,13,false,nonword,no,yellow,plome,no,true,691,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,14,false,nonword,no,mether,flim,no,true,1166,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,15,false,associated,yes,thunder,lightning,yes,true,545,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,16,false,associated,yes,bride,groom,yes,true,526,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,17,false,unassociated,yes,pen,father,yes,true,635,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,18,false,nonword,no,monkey,graib,no,true,673,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,19,false,nonword,no,narse,ladder,yes,false,1026,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,20,false,nonword,no,pelper,candle,yes,false,546,false
2UXIMK,desktop,2026-09-03T20:33:15.984Z,21,false,nonword,no,naight,carpet,no,true,742,false
32RPAW,touch,2026-09-03T20:34:20.092Z,1,true,unassociated,yes,apple,door,yes,true,728,false
32RPAW,touch,2026-09-03T20:34:20.092Z,2,true,unassociated,yes,shirt,river,yes,true,1315,false
32RPAW,touch,2026-09-03T20:34:20.092Z,3,true,associated,yes,coffee,tea,yes,true,1147,false
32RPAW,touch,2026-09-03T20:34:20.092Z,4,true,nonword,no,lamp,gorp,no,true,835,false
32RPAW,touch,2026-09-03T20:34:20.092Z,5,true,associated,yes,north,south,yes,true,983,false
32RPAW,touch,2026-09-03T20:34:20.092Z,6,true,nonword,no,trink,house,yes,false,1681,false
32RPAW,touch,2026-09-03T20:34:20.092Z,7,false,associated,yes,sun,moon,yes,true,745,false
32RPAW,touch,2026-09-03T20:34:20.092Z,8,false,nonword,no,pillow,flim,no,true,1101,false
32RPAW,touch,2026-09-03T20:34:20.092Z,9,false,nonword,no,yellow,hant,no,true,719,false
32RPAW,touch,2026-09-03T20:34:20.092Z,10,false,nonword,no,market,brend,no,true,621,false
32RPAW,touch,2026-09-03T20:34:20.092Z,11,false,nonword,no,monkey,scok,no,true,1014,false
32RPAW,touch,2026-09-03T20:34:20.092Z,12,false,nonword,no,trell,engine,no,true,1231,false
32RPAW,touch,2026-09-03T20:34:20.092Z,13,false,associated,yes,hand,foot,yes,true,1152,false
32RPAW,touch,2026-09-03T20:34:20.092Z,14,false,nonword,no,wab,wallet,no,true,954,false
32RPAW,touch,2026-09-03T20:34:20.092Z,15,false,nonword,no,naight,nammer,no,true,1031,false
32RPAW,touch,2026-09-03T20:34:20.092Z,16,false,nonword,no,groop,crade,no,true,895,false
32RPAW,touch,2026-09-03T20:34:20.092Z,17,false,associated,yes,spider,web,yes,true,1085,false
32RPAW,touch,2026-09-03T20:34:20.092Z,18,false,unassociated,yes,pen,key,yes,true,771,false
32RPAW,touch,2026-09-03T20:34:20.092Z,19,false,unassociated,yes,bride,wife,yes,true,713,false
32RPAW,touch,2026-09-03T20:34:20.092Z,20,false,unassociated,yes,table,father,yes,true,841,false
32RPAW,touch,2026-09-03T20:34:20.092Z,21,false,associated,yes,black,white,yes,true,861,false
32RPAW,touch,2026-09-03T20:34:20.092Z,22,false,unassociated,yes,knife,cold,yes,true,638,false
32RPAW,touch,2026-09-03T20:34:20.092Z,23,false,associated,yes,shoe,sock,yes,true,911,false
