participant_code,device,session_start,trial_index,is_practice,condition,correct_response,prime,target,response,correct,rt_ms,focus_lost
0MLC8R,desktop,2026-09-01T20:33:38.701Z,1,true,associated,yes,north,south,yes,true,880,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,2,true,unassociated,yes,apple,door,yes,true,964,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,3,true,unassociated,yes,shirt,river,yes,true,990,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,4,true,nonword,no,trink,house,no,true,972,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,5,true,associated,yes,coffee,tea,yes,true,898,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,6,true,nonword,no,lamp,gorp,no,true,1035,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,7,false,unassociated,yes,bride,saucer,yes,true,593,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,8,false,nonword,no,blick,darp,no,true,777,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,9,false,nonword,no,pencil,naight,no,true,880,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,10,false,associated,yes,knife,fork,yes,true,879,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,11,false,associated,yes,king,queen,yes,true,662,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,12,false,nonword,no,candle,wab,yes,false,1152,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,13,false,nonword,no,dinner,threed,no,true,1001,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,14,false,unassociated,yes,thunder,paper,yes,true,628,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,15,false,associated,yes,husband,wife,no,false,748,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,16,false,nonword,no,paner,narse,no,true,770,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,17,false,associated,yes,cat,dog,no,false,697,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,18,false,nonword,no,jacket,pelper,no,true,861,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,19,false,unassociated,yes,pen,night,yes,true,928,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,20,false,unassociated,yes,day,white,yes,true,1034,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,21,false,nonword,no,thumber,mether,no,true,1287,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,22,false,associated,yes,table,chair,yes,true,651,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,23,false,nonword,no,crade,kez,no,true,712,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,24,false,nonword,no,flim,letter,no,true,725,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,25,false,nonword,no,borl,bottle,no,true,878,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,26,false,nonword,no,music,groop,no,true,784,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,27,false,nonword,no,moin,wibe,yes,false,1220,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,28,false,unassociated,yes,black,sock,yes,true,848,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,29,false,associated,yes,sun,moon,yes,true,1040,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,30,false,nonword,no,graib,window,no,true,895,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,31,false,associated,yes,lock,key,no,false,791,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,32,false,associated,yes,salt,pepper,yes,true,721,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,33,false,unassociated,yes,bread,web,yes,true,798,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,34,false,nonword,no,brend,saucel,no,true,839,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,35,false,unassociated,yes,cup,groom,yes,true,707,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,36,false,nonword,no,chaif,silver,yes,false,808,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,37,false,nonword,no,engine,scok,no,true,914,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,38,false,nonword,no,hant,market,no,true,868,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,39,false,nonword,no,vosk,wallet,no,true,1065,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,40,false,associated,yes,doctor,nurse,yes,true,704,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,41,false,nonword,no,dorg,planet,no,true,1012,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,42,false,nonword,no,sturn,plome,no,true,3000,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,43,false,unassociated,yes,shoe,thread,yes,true,914,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,44,false,nonword,no,fonk,velvet,yes,false,652,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,45,false,unassociated,yes,boy,lightning,yes,true,529,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,46,false,unassociated,yes,needle,girl,yes,true,683,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,47,false,nonword,no,tunnel,quing,no,true,736,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,48,false,associated,yes,mother,father,yes,true,598,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,49,false,associated,yes,hand,foot,yes,true,763,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,50,false,unassociated,yes,hot,butter,yes,true,951,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,51,false,nonword,no,cald,nammer,no,true,801,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,52,false,nonword,no,yellow,trell,no,true,901,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,53,false,associated,yes,hammer,nail,yes,true,798,false
0MLC8R,desktop,2026-09-01T20:33:38.701Z,54,false,unassociated,yes,spider,cold,yes,true,1045,false
1900NJ,touch,2026-09-01T20:33:53.466Z,1,true,unassociated,yes,shirt,river,yes,true,842,false
1900NJ,touch,2026-09-01T20:33:53.466Z,2,true,associated,yes,coffee,tea,yes,true,755,false
1900NJ,touch,2026-09-01T20:33:53.466Z,3,true,associated,yes,north,south,yes,true,715,false
1900NJ,touch,2026-09-01T20:33:53.466Z,4,true,nonword,no,lamp,gorp,no,true,1091,false
1900NJ,touch,2026-09-01T20:33:53.466Z,5,true,nonword,no,trink,house,no,true,785,false
1900NJ,touch,2026-09-01T20:33:53.466Z,6,true,unassociated,yes,apple,door,yes,true,765,false
1900NJ,touch,2026-09-01T20:33:53.466Z,7,false,nonword,no,groop,mether,no,true,757,false
1900NJ,touch,2026-09-01T20:33:53.466Z,8,false,associated,yes,knife,fork,yes,true,683,false
1900NJ,touch,2026-09-01T20:33:53.466Z,9,false,unassociated,yes,cat,foot,yes,true,713,false
1900NJ,touch,2026-09-01T20:33:53.466Z,10,false,associated,yes,spider,web,yes,true,707,false
1900NJ,touch,2026-09-01T20:33:53.466Z,11,false,unassociated,yes,husband,key,yes,true,881,false
1900NJ,touch,2026-09-01T20:33:53.466Z,12,false,unassociated,yes,cup,dog,yes,true,554,false
1900NJ,touch,2026-09-01T20:33:53.466Z,13,false,unassociated,yes,thunder,white,yes,true,662,false
1900NJ,touch,2026-09-01T20:33:53.466Z,14,false,nonword,no,letter,narse,no,true,715,false
1900NJ,touch,2026-09-01T20:33:53.466Z,15,false,associated,yes,table,chair,yes,true,747,false
1900NJ,touch,2026-09-01T20:33:53.466Z,16,false,associated,yes,needle,thread,yes,true,468,false
1900NJ,touch,2026-09-01T20:33:53.466Z,17,false,nonword,no,darp,velvet,yes,false,1118,false
1900NJ,touch,2026-09-01T20:33:53.466Z,18,false,nonword,no,rocket,thumber,no,true,679,false
1900NJ,touch,2026-09-01T20:33:53.466Z,19,false,nonword,no,basket,graib,no,true,703,false
1900NJ,touch,2026-09-01T20:33:53.466Z,20,false,associated,yes,mother,father,yes,true,568,false
1900NJ,touch,2026-09-01T20:33:53.466Z,21,false,unassociated,yes,bride,saucer,yes,true,560,false
1900NJ,touch,2026-09-01T20:33:53.466Z,22,false,associated,yes,shoe,sock,yes,true,666,false
1900NJ,touch,2026-09-01T20:33:53.466Z,23,false,nonword,no,pelper,candle,no,true,672,false
1900NJ,touch,2026-09-01T20:33:53.466Z,24,false,nonword,no,nammer,yellow,yes,false,857,false
1900NJ,touch,2026-09-01T20:33:53.466Z,25,false,nonword,no,quing,kez,yes,false,1005,false
1900NJ,touch,2026-09-01T20:33:53.466Z,26,false,associated,yes,king,queen,yes,true,578,false
1900NJ,touch,2026-09-01T20:33:53.466Z,27,false,nonword,no,market,naight,no,true,721,false
1900NJ,touch,2026-09-01T20:33:53.466Z,28,false,nonword,no,planet,paner,no,true,989,false
1900NJ,touch,2026-09-01T20:33:53.466Z,29,false,nonword,no,brend,wibe,no,true,743,false
1900NJ,touch,2026-09-01T20:33:53.466Z,30,false,associated,yes,salt,pepper,yes,true,531,false
1900NJ,touch,2026-09-01T20:33:53.466Z,31,false,unassociated,yes,day,girl,yes,true,670,false
1900NJ,touch,2026-09-01T20:33:53.466Z,32,false,nonword,no,engine,sturn,no,true,866,false
1900NJ,touch,2026-09-01T20:33:53.466Z,33,false,unassociated,yes,sun,groom,yes,true,764,false
1900NJ,touch,2026-09-01T20:33:53.466Z,34,false,associated,yes,hammer,nail,yes,true,705,false
1900NJ,touch,2026-09-01T20:33:53.466Z,35,false,unassociated,yes,boy,nurse,yes,true,869,false
1900NJ,touch,2026-09-01T20:33:53.466Z,36,false,nonword,no,flim,threed,no,true,661,false
1900NJ,touch,2026-09-01T20:33:53.466Z,37,false,nonword,no,crade,forest,no,true,1002,false
1900NJ,touch,2026-09-01T20:33:53.466Z,38,false,nonword,no,hant,vosk,no,true,721,false
1900NJ,touch,2026-09-01T20:33:53.466Z,39,false,unassociated,yes,doctor,wife,yes,true,812,false
1900NJ,touch,2026-09-01T20:33:53.466Z,40,false,nonword,no,dorg,fonk,no,true,841,false
1900NJ,touch,2026-09-01T20:33:53.466Z,41,false,associated,yes,pen,paper,yes,true,511,false
1900NJ,touch,2026-09-01T20:33:53.466Z,42,false,unassociated,yes,hand,moon,yes,true,929,false
1900NJ,touch,2026-09-01T20:33:53.466Z,43,false,nonword,no,tunnel,moin,no,true,881,false
1900NJ,touch,2026-09-01T20:33:53.466Z,44,false,nonword,no,jacket,plome,no,true,1045,false
1900NJ,touch,2026-09-01T20:33:53.466Z,45,false,nonword,no,blick,cald,yes,false,924,false
1900NJ,touch,2026-09-01T20:33:53.466Z,46,false,unassociated,yes,black,night,yes,true,908,false
1900NJ,touch,2026-09-01T20:33:53.466Z,47,false,nonword,no,borl,trell,yes,false,1053,false
1900NJ,touch,2026-09-01T20:33:53.466Z,48,false,nonword,no,scok,music,no,true,764,false
1900NJ,touch,2026-09-01T20:33:53.466Z,49,false,nonword,no,wab,dinner,no,true,747,false
1900NJ,touch,2026-09-01T20:33:53.466Z,50,false,associated,yes,bread,butter,yes,true,741,false
1900NJ,touch,2026-09-01T20:33:53.466Z,51,false,nonword,no,saucel,pillow,no,true,917,false
1900NJ,touch,2026-09-01T20:33:53.466Z,52,false,associated,yes,hot,cold,yes,true,544,false
1900NJ,touch,2026-09-01T20:33:53.466Z,53,false,unassociated,yes,lock,lightning,yes,true,824,false
1900NJ,touch,2026-09-01T20:33:53.466Z,54,false,nonword,no,chaif,wallet,no,true,847,false
3J454B,desktop,2026-09-01T20:34:49.872Z,1,true,unassociated,yes,shirt,river,yes,true,1008,false
3J454B,desktop,2026-09-01T20:34:49.872Z,2,true,nonword,no,trink,house,no,true,883,false
3J454B,desktop,2026-09-01T20:34:49.872Z,3,true,associated,yes,north,south,yes,true,748,false
3J454B,desktop,2026-09-01T20:34:49.872Z,4,true,nonword,no,lamp,gorp,no,true,809,false
3J454B,desktop,2026-09-01T20:34:49.872Z,5,true,unassociated,yes,apple,door,no,false,798,false
3J454B,desktop,2026-09-01T20:34:49.872Z,6,true,associated,yes,coffee,tea,yes,true,881,false
3J454B,desktop,2026-09-01T20:34:49.872Z,7,false,nonword,no,silver,pelper,no,true,874,false
3J454B,desktop,2026-09-01T20:34:49.872Z,8,false,associated,yes,salt,pepper,yes,true,999,false
3J454B,desktop,2026-09-01T20:34:49.872Z,9,false,associated,yes,cup,saucer,yes,true,719,false
3J454B,desktop,2026-09-01T20:34:49.872Z,10,false,associated,yes,hammer,nail,yes,true,739,false
3J454B,desktop,2026-09-01T20:34:49.872Z,11,false,nonword,no,plome,rocket,no,true,684,false
3J454B,desktop,2026-09-01T20:34:49.872Z,12,false,associated,yes,thunder,lightning,yes,true,703,false
3J454B,desktop,2026-09-01T20:34:49.872Z,13,false,associated,yes,doctor,nurse,yes,true,644,false
3J454B,desktop,2026-09-01T20:34:49.872Z,14,false,associated,yes,hot,cold,yes,true,649,false
3J454B,desktop,2026-09-01T20:34:49.872Z,15,false,nonword,no,pencil,graib,no,true,656,false
3J454B,desktop,2026-09-01T20:34:49.872Z,16,false,nonword,no,kez,borl,no,true,682,false
3J454B,desktop,2026-09-01T20:34:49.872Z,17,false,nonword,no,flim,wallet,no,true,774,false
3J454B,desktop,2026-09-01T20:34:49.872Z,18,false,nonword,no,vosk,basket,no,true,856,false
3J454B,desktop,2026-09-01T20:34:49.872Z,19,false,nonword,no,cald,candle,no,true,603,false
3J454B,desktop,2026-09-01T20:34:49.872Z,20,false,nonword,no,yellow,blick,no,true,603,false
3J454B,desktop,2026-09-01T20:34:49.872Z,21,false,unassociated,yes,table,girl,yes,true,5496,false
3J454B,desktop,2026-09-01T20:34:49.872Z,22,false,unassociated,yes,bread,paper,no,false,891,false
3J454B,desktop,2026-09-01T20:34:49.872Z,23,false,unassociated,yes,mother,wife,yes,true,787,false
3J454B,desktop,2026-09-01T20:34:49.872Z,24,false,nonword,no,brend,monkey,no,true,5830,false
3J454B,desktop,2026-09-01T20:34:49.872Z,25,false,unassociated,yes,knife,key,yes,true,701,false
3J454B,desktop,2026-09-01T20:34:49.872Z,26,false,nonword,no,bottle,fonk,no,true,659,false
3J454B,desktop,2026-09-01T20:34:49.872Z,27,false,nonword,no,garden,wab,no,true,850,false
3J454B,desktop,2026-09-01T20:34:49.872Z,28,false,unassociated,yes,boy,father,yes,true,712,false
3J454B,desktop,2026-09-01T20:34:49.872Z,29,false,nonword,no,sturn,saucel,no,true,997,false
3J454B,desktop,2026-09-01T20:34:49.872Z,30,false,nonword,no,dorg,chaif,yes,false,810,false
3J454B,desktop,2026-09-01T20:34:49.872Z,31,false,nonword,no,mether,paner,no,true,956,false
3J454B,desktop,2026-09-01T20:34:49.872Z,32,false,associated,yes,hand,foot,no,false,857,false
3J454B,desktop,2026-09-01T20:34:49.872Z,33,false,associated,yes,shoe,sock,yes,true,596,false
3J454B,desktop,2026-09-01T20:34:49.872Z,34,false,nonword,no,engine,quing,no,true,890,false
3J454B,desktop,2026-09-01T20:34:49.872Z,35,false,associated,yes,king,queen,yes,true,886,false
3J454B,desktop,2026-09-01T20:34:49.872Z,36,false,associated,yes,sun,moon,yes,true,499,false
3J454B,desktop,2026-09-01T20:34:49.872Z,37,false,nonword,no,narse,market,no,true,665,false
3J454B,desktop,2026-09-01T20:34:49.872Z,38,false,nonword,no,darp,scok,no,true,787,false
3J454B,desktop,2026-09-01T20:34:49.872Z,39,false,unassociated,yes,pen,night,yes,true,647,false
3J454B,desktop,2026-09-01T20:34:49.872Z,40,false,unassociated,yes,lock,web,,false,,false
3J454B,desktop,2026-09-01T20:34:49.872Z,41,false,unassociated,yes,bride,fork,yes,true,583,false
3J454B,desktop,2026-09-01T20:34:49.872Z,42,false,nonword,no,window,hant,no,true,687,false
3J454B,desktop,2026-09-01T20:34:49.872Z,43,false,unassociated,yes,black,butter,yes,true,861,false
3J454B,desktop,2026-09-01T20:34:49.872Z,44,false,associated,yes,needle,thread,yes,true,823,false
3J454B,desktop,2026-09-01T20:34:49.872Z,45,false,nonword,no,velvet,thumber,no,true,545,false
3J454B,desktop,2026-09-01T20:34:49.872Z,46,false,unassociated,yes,day,white,yes,true,617,false
3J454B,desktop,2026-09-01T20:34:49.872Z,47,false,nonword,no,nammer,groop,no,true,879,false
3J454B,desktop,2026-09-01T20:34:49.872Z,48,false,associated,yes,cat,dog,yes,true,521,false
3J454B,desktop,2026-09-01T20:34:49.872Z,49,false,nonword,no,naight,ladder,no,true,739,false
3J454B,desktop,2026-09-01T20:34:49.872Z,50,false,nonword,no,threed,trell,no,true,718,false
3J454B,desktop,2026-09-01T20:34:49.872Z,51,false,nonword,no,wibe,tunnel,no,true,456,false
3J454B,desktop,2026-09-01T20:34:49.872Z,52,false,nonword,no,moin,crade,no,true,713,false
3J454B,desktop,2026-09-01T20:34:49.872Z,53,false,unassociated,yes,husband,groom,yes,true,771,false
3J454B,desktop,2026-09-01T20:34:49.872Z,54,false,unassociated,yes,spider,chair,yes,true,752,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,1,true,associated,yes,north,south,yes,true,729,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,2,true,nonword,no,lamp,gorp,no,true,746,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,3,true,unassociated,yes,shirt,river,yes,true,874,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,4,true,associated,yes,coffee,tea,yes,true,885,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,5,true,unassociated,yes,apple,door,yes,true,889,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,6,true,nonword,no,trink,house,no,true,761,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,7,false,associated,yes,black,white,yes,true,519,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,8,false,nonword,no,candle,chaif,no,true,995,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,9,false,nonword,no,market,blick,no,true,811,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,10,false,nonword,no,tunnel,cald,no,true,831,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,11,false,nonword,no,wab,narse,no,true,771,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,12,false,associated,yes,thunder,lightning,yes,true,626,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,13,false,unassociated,yes,needle,chair,yes,true,700,false
4IO9RU,desktop,2026-09-01T20:36:10.337Z,14,false,nonword,no,music,threed,no,true,710,false
